"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR"
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N386","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N392","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N392","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N392","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N3T1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N3T1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N3T1","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N5C6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N5C6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N5C6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N699","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N699","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N699","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N6C8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N6C8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N6C8","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N8M0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N8M0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N8M0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N9N7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N9N7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8N9N7","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NBJ4","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NBJ4","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8NBJ4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBJ7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBJ7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBJ7","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NBP7","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NBP7","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8NBP7","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBS9","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBS9","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBS9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBZ7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBZ7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NBZ7","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NCH0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NCH0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NCH0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NDA2","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NDA2","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NDA2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NEH6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NEH6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NEH6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFL0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFL0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFL0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFP4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFP4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFP4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFU4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFU4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NFU4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NG11","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NG11","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NG11","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NI51","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NI51","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8NI51","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NI99","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8NI99","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8NI99","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TAX7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TAX7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TAX7","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8TB73","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8TB73","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8TB73","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TBY9","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TBY9","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TBY9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC12","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC12","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC12","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC71","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC71","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TC71","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TCZ2","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TCZ2","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TCZ2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD06","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD06","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD06","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD55","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD55","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TD55","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8TDL5","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8TDL5","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8TDL5","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TDW7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TDW7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TDW7","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8TER0","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8TER0","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8TER0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TF66","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TF66","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8TF66","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WUA8","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WUA8","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WUA8","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUJ3","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUJ3","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUJ3","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WUM4","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WUM4","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8WUM4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUT4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUT4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WUT4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVM8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVM8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVM8","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVN8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVN8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVN8","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVV4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVV4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WVV4","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WWA0","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WWA0","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8WWA0","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WWV6","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WWV6","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WWV6","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WWZ8","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q8WWZ8","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q8WWZ8","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXI7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXI7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXI7","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXX5","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXX5","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WXX5","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WZ42","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WZ42","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q8WZ42","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q8WZA1","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92187","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92187","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q92187","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92496","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92496","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92496","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92520","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92520","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92520","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92526","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92526","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92526","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92530","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92530","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92530","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92563","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92563","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92563","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92614","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92614","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92614","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92616","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92616","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92616","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92619","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92619","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92619","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92673","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92673","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92673","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92688","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92688","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92688","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92696","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92696","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92696","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92743","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92743","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q92743","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92752","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92752","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92752","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92765","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92765","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92765","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92820","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92820","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92820","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92823","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92823","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q92823","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92859","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92859","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q92859","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92882","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92882","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92882","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92930","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92930","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92930","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92954","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q92954","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q92954","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92973","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92973","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92973","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92993","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92993","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q92993","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93008","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93008","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93008","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93033","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93033","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93033","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93050","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93050","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93050","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93070","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93070","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93070","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93084","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93084","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93084","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93098","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93098","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q93098","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969P0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969P0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969P0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969T9","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969T9","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q969T9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AG4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AG4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AG4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AP7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AP7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96AP7","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q96AQ6","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q96AQ6","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","Q96AQ6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BY6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BY6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BY6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BZ4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BZ4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96BZ4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C19","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C19","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C19","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C24","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C24","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96C24","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CW1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CW1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CW1","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CX2","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CX2","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96CX2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96D15","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96D15","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96D15","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DA0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DA0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DA0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DR8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DR8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96DR8","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q96EE4","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","Q96EE4","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","Q96EE4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","Q96FE7","Acquisition",
